,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),€,Saburtalo,Дигоми,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,11-03-2020 23:43:10,Tbilisi,F8K,BestAcid,Метадон - 0.12 г Новая партия!,True,24,нет,Тбилиси,0.12 гр,0.0119,7862,2915,255,110,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,11-03-2020 23:43:10,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,9,нет,Тбилиси,0.25 гр,0.0228,15009,5565,487,210,,,,,,,,,Metadon VHQ 0.25 24/7
2,11-03-2020 23:43:10,Tbilisi,I8ED,KKGRUZ,0.35gr ALFA PVP GREEN,True,22,нет,Тбилиси,0.35 гр,0.0084,5003,1855,162,70,,,,,,,,,0.35gr ALFA PVP GREEN
3,11-03-2020 23:43:10,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G,True,2,нет,Тбилиси,0.35 гр,0.0386,22871,8480,743,320,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
4,11-03-2020 23:43:10,Tbilisi,LYHBG,Playboy,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,6,нет,Тбилиси,0.5 гр,0.0131,7790,2889,253,109,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
5,11-03-2020 23:43:10,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0113,7076,2624,230,99,,,,,,,,,Cocaine Pure VHQ 0.5g
6,11-03-2020 23:43:10,Tbilisi,P285,Trippyshop,"NEW Sale!! Cocaine 0,5 гр. HQ",True,6,нет,Тбилиси,0.5 гр,0.0119,7076,2624,230,99,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
7,11-03-2020 23:43:10,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0125,7790,2889,253,109,,,,,,,,,Pure COCAINE VHQ 0.5g
8,11-03-2020 23:43:10,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,1,нет,Тбилиси,0.5 гр,0.0036,2144,795,70,30,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
9,11-03-2020 23:43:10,Tbilisi,LYHBG,Playboy,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,8,нет,Тбилиси,1 гр,0.0239,14151,5247,460,198,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
